english_word,transliteration,arabic_script_1,arabic_script_2,part_of_speech,difficulty_level,category,banjarese_phrase,english_phrase,image_url,sequence_number,
judge,hakim,هاکيم,هاکيم,noun,2,wasit,Hakim adil bijaksana,Judge is fair and wise,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=200&h=200&fit=crop&crop=face,60
lawyer,pengacara,ڤڠاچارا,ڤڠاچارا,noun,3,advokat,Pengacara pintar berpidato,Lawyer is smart at speaking,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=200&h=200&fit=crop&crop=face,55
crime,kejahatan,کجاهاتان,کجاهاتان,noun,3,angkara,Kejahatan harus dihukum,Crime must be punished,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=200&h=200&fit=crop&crop=face,60
criminal,penjahat,ڤنجاهات,ڤنجاهات,noun,2,durjana,Penjahat ditangkap polisi,Criminal arrested by police,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=200&h=200&fit=crop&crop=face,55
thief,pencuri,ڤنچوري,ڤنچوري,noun,2,maling,Pencuri masuk rumah,Thief enters house,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=200&h=200&fit=crop&crop=face,60
steal,mencuri,منچوري,منچوري,verb,2,nyolong,Mencuri itu dosa,Stealing is a sin,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=200&h=200&fit=crop&crop=face,55
robbery,perampokan,ڤرامڤوکان,ڤرامڤوکان,noun,3,rampok,Perampokan di bank,Robbery at the bank,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=200&h=200&fit=crop&crop=face,45
prison,penjara,ڤنجارا,ڤنجارا,noun,2,bui,Penjara untuk penjahat,Prison for criminals,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=200&h=200&fit=crop&crop=center,50
punishment,hukuman,هوکومان,هوکومان,noun,3,siksa,Hukuman sesuai kejahatan,Punishment fits the crime,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=200&h=200&fit=crop&crop=center,55
justice,keadilan,کعاديلان,کعاديلان,noun,3,kabenaran,Keadilan untuk semua,Justice for all,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=200&h=200&fit=crop&crop=center,60
election,pemilihan,ڤميليهان,ڤميليهان,noun,3,pilkada,Pemilihan presiden demokratis,Presidential election is democratic,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=200&h=200&fit=crop&crop=center,55
vote,memilih,مميليح,مميليح,verb,2,nyoblos,Memilih calon terbaik,Vote for the best candidate,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=200&h=200&fit=crop&crop=center,60
president,presiden,ڤرسيدن,ڤرسيدن,noun,2,presiden,Presiden memimpin negara,President leads the country,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=200&h=200&fit=crop&crop=face,65
minister,menteri,منتري,منتري,noun,2,menteri,Menteri pendidikan pintar,Education minister is smart,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=200&h=200&fit=crop&crop=face,55
mayor,walikota,واليکوتا,واليکوتا,noun,2,walikota,Walikota peduli rakyat,Mayor cares for the people,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=200&h=200&fit=crop&crop=face,50
governor,gubernur,ګوبرنور,ګوبرنور,noun,2,gubernur,Gubernur Kalimantan Selatan,Governor of South Kalimantan,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=200&h=200&fit=crop&crop=face,45
country,negara,نګارا,نګارا,noun,2,bangsa,Negara Indonesia besar,Indonesia is a big country,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=200&h=200&fit=crop&crop=center,80
nation,bangsa,باڠسا,باڠسا,noun,2,nasion,Bangsa Indonesia beragam,Indonesian nation is diverse,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=200&h=200&fit=crop&crop=center,70
citizen,warga negara,وارګا نګارا,وارګا نګارا,noun,3,rakyat,Warga negara yang baik,Good citizens,https://images.unsplash.com/photo-1529156069898-49953e39b3ac?w=200&h=200&fit=crop&crop=center,65
flag,bendera,بنديرا,بنديرا,noun,2,umbul-umbul,Bendera merah putih,Red and white flag,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=200&h=200&fit=crop&crop=center,70
independence,kemerdekaan,کمرديکاان,کمرديکاان,noun,4,kamardikan,Kemerdekaan 17 Agustus,Independence August 17,https://images.unsplash.com/photo-1486406146926-c627a92ad1ab?w=200&h=200&fit=crop&crop=center,60
freedom,kebebasan,کببسان,کببسان,noun,3,kamardikan,Kebebasan berpendapat penting,Freedom of opinion is important,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=200&h=200&fit=crop&crop=face,65
peace,perdamaian,ڤرداماايان,ڤرداماايان,noun,3,tentrem,Perdamaian dunia penting,World peace is important,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=200&h=200&fit=crop&crop=center,60
war,perang,ڤرڠ,ڤرڠ,noun,2,peperangan,Perang membawa penderitaan,War brings suffering,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=200&h=200&fit=crop&crop=center,50
soldier,tentara,تنتارا,تنتارا,noun,2,prajurit,Tentara melindungi negara,Soldiers protect the country,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=200&h=200&fit=crop&crop=face,60
weapon,senjata,سنجاتا,سنجاتا,noun,2,gegaman,Senjata berbahaya,Weapons are dangerous,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=200&h=200&fit=crop&crop=face,55
fight,bertarung,برتاروڠ,برتاروڠ,verb,2,gelut,Bertarung melawan kejahatan,Fight against crime,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=200&h=200&fit=crop&crop=face,60
defend,membela,مببلا,مببلا,verb,2,mbela,Membela yang benar,Defend what is right,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=200&h=200&fit=crop&crop=face,65
attack,menyerang,مڽرڠ,مڽرڠ,verb,2,nyerang,Menyerang musuh,Attack the enemy,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=200&h=200&fit=crop&crop=face,50
victory,kemenangan,کمناڠان,کمناڠان,noun,3,menang,Kemenangan tim favorit,Victory of the favorite team,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=200&h=200&fit=crop&crop=center,60
defeat,kekalahan,ککالاهان,ککالاهان,noun,3,kalah,Kekalahan mengecewakan,Defeat is disappointing,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=200&h=200&fit=crop&crop=center,55
